,title,body,rating,product
21,Good mouse!,"It's good. Great mouse for office work, it's comfortable and easy to hold.As for gaming- the design is perfect for palm grip users, since it has a sloppy design. It's not really that great for me because I'm a claw grip user, but that's my personal issue so it doesn't matter here.I have always loved to game on office mice, since my hands are small-medium and I prefer light-weight mice. It's hard to find light-weight branded gaming mice at a reasonable price (according to an average middle class family).Anyways, it's good enough for casual gaming, definitely save up some money if you are going for pro gaming. I actually wanted to buy the Razer Viper Mini but it's currently out of my budget, guess next time. Corsair katar pro also seems like a good option for gaming.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
22,Don't buy ever!,"Really bad mouse from Dell. They just put the Dell logo on the mouse, and are fooling costomers that the mouse holds up to the quality of Dell laptops. The right key stopped registering clicks within a few months of usage. Warranty is a joke. Who is going to honour it? Go for Logitech mouse, they are quality and last long.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
23,Incorrect mention of country of origin,"From a product perspective, never have had any issues with any of the Dell products.. Only concern is don't mention incorrect country of origin.. It says India, however the product received is China.  I had asked for return/replace and got the same again.. (Made in China).. Not something that would appreciate..",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
24,Precise movements Very good quality build No wonder Dell is the Best,"Buy without second thoughts.Don't buy those cheap Rs.150 mouse, buy this instead for Rs.299. It is worth every penny.This is 100 times better than Logitech M90.Precise movements of both the scroll wheel and the mouse cursor.Very good quality build.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
25,Nice for office work but a nono for gamers,"Hii if you read my review it means you look information which goes long story short as this mouse is a office mouse (i needed to scribble spread sheet) but as i was using some gaming mice too i got too many issues then i replaced it with a gaming mice namely logitech g102 (prodigy).So I will say if you have ever gone with ging mouse you will not like it, and if you just want a mouse which cost less than a cofeego for this its super cheap with max what you can get on this price.",3.0,Dell MS116 1000DPI USB Wired Optical Mouse
26,Nice looking and shape,"My 1st Dell mouse and I don't regret this purchase, very smooth and very comfortable to use, only cons is i paid 30 rs extra as i didn't buyed it during discount sale..",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
27,"Great budget mouse! Been using for two years, and still running!","I'm writing this review after TWO YEARS of usage, and I got this in an discounted sale, for around 180 bucks that time :) A medium sized mouse that's good for large hands like mine! if u really want a mouse and you're under a TIGHT BUDGET, just go for this one, its an amazing and really LONG LASTING. Clean look, LIGHTWEIGHT, but yet plasticky, and click sounds are quite loud, scroll bar isnt so smooth, but under this budget, couldn't expect more and it really does the job, and I almost got used to all of the above mentioned cons eventually, and extremely surprised by its LONGEVITY, cuz generally mouses of this price didn't last long for me, not even a year, they stop working. But this isn't one of them. Pro tip, UNLESS AND UNTIL YOU HANDLE IT REALLY GOOD, AND HAVE THE PRACTICE OF KEEPIN IT PACKED OR BOXED IN A SAFE PLACE WHEN NOT IN USE, ANY MOUSE WOULD MALFUNCTION SOONER, just treat this mouse like any other mouse you'll get for thousands of bucks, it will last longer :) Great for PROFESSIONAL USE, video and photo editing, etc. Not so great for gaming, for playing games like Rainbow Six Seige, Valorant etc., due to less precision and response time(tested it, still you can manage to do well upto an extent, depends on how good of a gamer you are to understand and get used to the latency and response time of your mouse over time), but still you can obviously play some good old offline story mode games like GTA V. I'm a designer and I use it mostly for rendering, and modeling stuff, surprisingly this mouse seemed to do a great job for the price. Back then when I bought this, there were barely 100 reviews, and now I'm actually surprised to see these many reviews on this product. Overall, this is a really good budget mouse, and really really long lasting, as far as my experience at least.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
28,Go for it!,"I have been using it for more than a year now and I have no complaints whatsoever. I have taken care of it by not hitting it anywhere. So, I presume that's why it's working well so far.If the mouse you bought is having issues, then maybe there must be a manufacturing flaw or you must have hit the mouse somewhere or slammed it.But according to me, the product is great and can be used for long purpose.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
29,STOPPED WORKING AFTER 2 MONTHS,"As the subject states stopped working after 2 months, bought a Dell mouse thinking it would last longer than my tried and tested Logitech ones but sadly 2 months and it is dead. The logitech at least lasts for 2 years or more but sadly Dell does not believe in quality.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
30,Dell brand and Amazon experience.....Both are superb,"Well made a product unlike some other brand. It is a mouse which appears quite durable. It is the right size which will fit to all type of hands / fingers to operate. Operating for quite a period of time does not bother the wrist and to the fingers. An excellent choice for those, who are looking for a sturdy material for longivity of the product.Amazon delivery is excellent, and came with a proper packing with the original box packing from Dell.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
31,Not at all recommend,"This is poor quality mouse by dell, it worked fine during initial days but after a month left click is not working properly.I have to press it several time to work. Not at all recommended. I will try to get it replaced from dell as it is under warranty.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
32,Good mouse in cheap range,This mouse has been with me for more than 12 months now. I think this is the most amazing purchase I made when it comes to price to quality/performance.Mouse is well weighted for its price and has a quality sensor. which never skips. The ergonomics is pretty on point when it comes to priceOverall the Price is set at such a point that you cannot find a single flaw in it. and this is a much better buy then that HP X1000 mouse.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
33,First Day Experience went well. Will give brief later,Decent mouse at this price range ( RS 235). Delivered in 1 day thanks to Amazon. Will give a brief review after fair usage.Till now looks good feels good and also Good enough for medium hand people.Probably good for casual gaming. It's easy to hold not very short or too long.Overall good mouse at this price range.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
34,"Great, perfectly fine. No particular area where it is defective.","If you just need a mouse, this is the one for you. Perfectly fine for rpg and general games/gaming as well.Will also be possible to be used in FPS games, but that requires more debate.For FPS gaming, i.e., shooter games, e.g., pubg, valorant, csgo, battleground, fortnite, etc., this will require skill to master, a gaming mouse with the extra 2 buttons might be easier +they come with adjustable mouse speends, adjustable beyond the scope of the game/pc software.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
35,Basic mouse for regular use.,"Dell mouse for basic computer and office use. Standard,sturdy, ergonomic, big enough to be comfortable and reliable. Can game , but not all games because there are no extra buttons other than basic and cannot change dpi. I still play War Thunder with it.Again it is basic mouse. Reliability and ease of use is only expected from it and all others are bonus",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
36,Budget pick,"works like a charm, very smooth response, flows over the display, great response time. Great fit in hand, decent size compared to other mouses in market which are smaller in size. Click buttons are very soft, like we don't have to really press them- they are that soft. I'm not sure how it responds in gaming because I'm not a gamer, but in daily duty it performs well.Its faster than my laptop touchpad. Wire length is also more than sufficient.Any other experience i will update here.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
37,Laptop mouse big size,This mouse comes under laptop mouse. But it is very big size and difficult to hold compared to a small mouse. They have given incorrect weight and dimension details. At one place they mention the weight as 413 gms another place 120 gms The l w h dimension in cm also do not.match. pls dont buy this mouse if you are looking for a small laptop mouse.,3.0,Dell MS116 1000DPI USB Wired Optical Mouse
38,Shaky mouse wheel,"Mouse is good to hold. But the mouse wheel is so loose and shaking too much sideways which irritates while using it to scroll. If you are a frequent user of the mouse wheel, you must avoid this product.Not sure how Dell has designed such a product. I was using a HP mouse earlier and its wheel used to be so smooth to use and scroll on pages.",2.0,Dell MS116 1000DPI USB Wired Optical Mouse
39,Not working properly,"Since day1 the middle roll is not good, sometimes stucks and very hard have to roll, very tiring. After 3 days of use it started to not move the cursor properly. Now its totally useless, and as i didn't expect it won't be good (I thought its Dell, must be good quality) I threw out the box and everything. Now I can not get a refund or replacement. Have to purchase a new one - definetely something else.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
40,Lightweight and smooth operation,"It has a basic design, and easy to hold.Installing the mouse was no issue just plug-and-play.The scroll wheel gives positive feedback while scrolling.Hoping the mouse lasts long trouble-free.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
41,This mouse didn't even last a year. Mice these ...,"This mouse didn't even last a year. Mice these days are a far cry from the solid, robust Logitech ones that used to last for years, just a few years ago.",2.0,Dell MS116 1000DPI USB Wired Optical Mouse
42,Average backup mice!,"You get only what you pay for. This mouse is made of cheap plastic. I should have checked the weight. It’s lesser weight that you can feel it’s inferior quality. No complains on the functionality. But the overall smoothness and clicks feels very inferior. That’s what you get for the price they charge. Overall I regret buying this, but will keep it as a backup if something goes wrong.",3.0,Dell MS116 1000DPI USB Wired Optical Mouse
43,Not an easy task to use this mouse.,"Since I'm using dell laptop so I prefer to use dell mouse, in 25 years I hv used many mouses, but this one sucks. While using left clicks (99% of clicking) your finger will feel pain because its poor design to hold your palm.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
44,Good mouse for large handed folks. Value for money.,Excellent mouse. Much bigger than the previous one I was using. I have large hands and this mouse is perfect.Also it's a USB mouse and much accurate than the wireless one I was using earlier.Very happy with it so far.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
45,Great product,It's a dell mouse. Amazing matt finish. Super smooth and comfortable for everyday office use. Love the feel if the product while using it. Super light weight. Long enough wire. Haven't used it for gaming. Value for money. Comes in the original box along with the waranty card. Great investment!,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
46,The mouse gets stuck frequently,"I use the mouse mainly for excel and word. I find that it is unresponsive half the time and that it gets stuck. For eg. If I select an excel cell to changr the type to bold, the mouse insists on reviewing the formula instead and I have to delete the cell about 50% of the time. this should certainly not be an Amazon choice product!",2.0,Dell MS116 1000DPI USB Wired Optical Mouse
47,Fabulous,Awesome product. Its really fast and easy to use. cable length. Smooth and accurate cursor control at 1000 dpi. Just plug and play. Really comfortable. Good work Dell and Amazon.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
48,Good quality for the price,I was using the famous Logitech mouse before this and thought that this might be too small for my hand. But no! This mouse is of correct size for typical hand size and very nice to click and too good for basic usage and good for gaming as well. I have been using this for ~4 months now and I like it very much even more than the Logitech one.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
49,Dell Mouse - Review,"The media could not be loaded.
                




   When it comes to a brand like Dell, I don't have enough words. These products are great, durable, cost-effective and I'm sure they will last pretty long if you're using them carefully and professionally.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
50,Very soft clicks but it's awesome!,"The click is very soft. It should be a bit more deep so I know I clicked. Also the sound is very soft.The scroller is awesome. It's the best I've used and I know this is unbreakable. Every time I've changed my mouse, it was because of faulty scroll wheels.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
51,Great product at affordable price,"Decent product. Great to use for office or school or even at home. Quality of cables, USB jack and the buttons is good. Even after one month of continuous use (I use it for at least 9 hours every day) the sound of the click is the same as that of a brand new product. Can be used on any smooth surface. Optical detection is smooth as butter. Zero lag or overlap when using. I would highly recommend this product.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
52,Best ergonomically designed mouse in market,"It's a best ergonomically designed wireless mouse in market.m using it everywhere in home,office,personal etc.best long lasting mouse with gud material quality and what I personally like about it is it's best ergonomic design which gives ur hand a perfect support for longer durations.with this mouse only I am able to do my designing stuff for longer durations without any pain.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
53,Damaged product,"The product looks damaged. I just used it for three days from the product since delivered. When I used it on day one, I could find some disturbance in the mouse. Now it looks damaged inside.  I need a replacement.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
54,DON'T DON'T BUY THIS! This worked literally not more than 2 weeks. FUZZY LOGIC,"IS THIS FROM DELL?I have bought 2 pieces of this DELL Mouse, both of them work like fuzzy logic. When I click left, it pops up the right-click menu one time and next time it works as per some inbuilt logic(?).  No one knows when it will operate on double click mode when you clicked only a single click.One can't easily predict the outcome of the next click. :(",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
55,Great product....ordered second time....go for it,"It's good product. During cleaning my first mouse broke but second time I did not have to search, I starightaway ordered the same product. Although price could be lesser",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
56,Great quality mouse,"The media could not be loaded.
                




   Got tired of buying new batteries for my Bluetooth mouse. This mouse is great and good for gaming also.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
57,Ultimate mouse ever.,"As a customer of dell since beginning,  dell has always been successful in satisfying its customers in terms of brand and quality.The mouse Is amazing , delivery was super fast and with very good packaging at a best price.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
58,Stopped working,I bought this product after going through multiple reviews. I ordered it on 30th Jan 2022and writing this review on 9th Feb 2022. It stopped working today. And I don't have an option to return it as the period to return is over. I'm not sure about others but I think i got a mouse like this which stopped working in a week of usage.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
59,Best Product,"This is a Very good Product. Finally this DELL. No any alternate. Very Soft, User Friendly. Prompt Delivery Amazon.Any one can order this. Value for Money.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
60,Best Cheap Mouse,"Not the best build quality , but does the job and works well. I have used this mouse before and never had any issues. So I booked it for the second time and works good till now.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
61,Easy to hold and very smooth click experience,so far the best decision that I took by buying this mouse. It is very easy to hold and the click experience is Extremely smooth. Go for it if you want a mouse that performs well and costs very less. The good thing is they are even providing a warranty of 3 years.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
62,Works well from 2 months,Writing this review after 2 months of use. It works well till now. Build quality is good and I use this for browsing and also editing in Photoshop,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
63,Overall good,"Nice product.. works fine even after 1.5 years. Have purchased about half a dozen of optical mouse, but none could last this long. I've used this mouse on my PC as well as laptop, it worked smoothly on both.",3.0,Dell MS116 1000DPI USB Wired Optical Mouse
64,After opening the packet it's from china. I purchased just because origin is India.,"When in product description it's mencation country of origin is India but after opening the packet it's form china. I purchased just because origin is India, Please don't break customer trust.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
65,"USB Mouse, a nice functioning laptop accessory",Nice Mouse. No hitch of any kind. USB model and works to total satisfaction. Recommended to anybody who is desirous of having a USB Chorded  Mouse...Cheers,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
66,Got a used and defective product,"The media could not be loaded.
                




   Very unhappy with the purchase. Sent a used and defective device. Very bad seller, cheating the customers.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
67,Dell-Worth Every Penny,"Dell- The brand well known for its quality.!! Lets keep it short. Amazing Product, great build quality, easy of use, 100% genuine product, on time delivery by amazon, 5-Star rating for customer satisfaction.Love Amazon as always:)",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
68,0 Star - Review after 10months,"After 6 months, if I click right side button, its option option when we click left side button. I bought 6 products and 2 products got this problem. We are using for office systems.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
69,Left button has started misbehaving...,Not for gaming.... writing this review after 4months of use...left button has started working on its own...not ideal for gaming...just an ok mouse for normal use,2.0,Dell MS116 1000DPI USB Wired Optical Mouse
70,great,"Budget mouse medium sized, clicks are satisfying, mouse wheel is smooth and tracking is precise. performs very well, good for wfh or general use",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
71,Little uncomfortable while holding,Everything is absolutely great.. Except little bit uncomfortable while holding..Lekin time k sath used to ho jaoge.. Don't worry,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
72,If you are looking for a wired mouse this is best,"This is the mouse you need, before this I purchased 3 mouse and all of them started creating problem just after a week. I am writing the review after using it for over 6 months now still working really good for me. Complete value for your money.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
73,Best Budget Mouse with Good performance and High durability,"I am writing this review after 20 days of regular use.I think this is the best mouse out there so far in this range. It's very comfortable. Clicks are very smooth.Also, the DPI is perfect. I use to for professional work and it had really made my work on laptop easy.Not tested it for gaming, but I think it can perform well for gaming too, as I use Logitech gaming mouse for gaming.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
74,Lacks stability in use,"Mouse lacks stability in operation, reducing its usefulness for quick actions or fast work through mouse. Also, the plastic quality is cheap, a small shock can break the rotating member shaft, making whole mouse unproductive",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
75,Amazing mouse. Great for any kind of professionals. Very fast and smooth..,"Didn't try for gaming, but for office use it is amazing and the price is also so good. Avoid the Bluetooth mouse purchase this, cheap and best and durable. So so flawless performance. Great click, great comfort on the palm, very good scroll and feels very sturdy and durable.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
76,Good for it's price,"Review after a day.It is pretty comfortable for the price, and feels good to use.The mouse moves perfect on any surface and the mouse feet are better than other at the price.The only drawback, the scroll wheel wobbles a lot, the most I have seen in any mouse.Final verdict: At Rs300 , it is decent enough.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
77,Recommended,"Good one in the price.Fits well in hands, handy in use, easy clicks, sensitive motions are also detected. I use it for post processing pictures. Works well with my Asus laptop and all media softwares.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
78,Can be used for all purpose,As of now the mouse is working great. I'll update my review if I ever face any problems with this mouse.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
79,Good quality product,"Strictly not for gamers.Good mouse for daily routine job work, nice grip fit, ergonomic design ease in holding.Good mouse.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
80,Decent for everyday use.,Quite good quality. Been using it for one year. Ordered in March 2020. Save my work life during the pandemic!,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
81,poor quality,Got defected within a month and now I the service center is far away from my residence.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
82,Best mouse in the market with this range .,"It's the best product in the market with this price range . After rough usage of 8 months this mouse is as good as the new one . I can't even count for how much time this thing had fallen from table still it's working good . I am happy with my purchase :) I am giving 5 starts for this product not to the Amazon delivery services , they are really pathetic .",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
83,Good product to use but did not not last long,"Overall, it was a good product to use in warranty period but started malfunctioning just a month or two after the warranty period is over. Right-click button started malfunctioning and did register many consecutive clicks like about 6 to 8 clicks don't work out of 20 clicks. I expected a better product from DELL.",2.0,Dell MS116 1000DPI USB Wired Optical Mouse
84,Non working piece,"Received a non working piece, seems to be badly assembled as the front of the mouse was open and buttons were very hard to click. Returned it.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
85,The press feels damped pointing out to a premium feel.,The packaging was not good. The box that holded it was crushed a bit. The most disappointing bit was that the plastic wrap inside the box covering the mouse was completely torn off as if someone checked the product prior to me. The product in itself is working good though.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
86,Good  mouse for normal day to day use.,Good  mouse for normal day to day use. Have been using it for normal use only.its VFM for the price paid( Rs.279). for a branded mouse.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
87,"Good, standard product","Good, standard product, been using it for a long time. Forgot it in another office, hence bought again.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
88,"Very good mouse, better than other top brands.",Bought this mouse after using other costly brands that were failing in 4 to 5 months.review will be updated after some days.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
89,Perfect basic mouse. Not durable.,"I wanted a basic mouse and this is a perfect mouse for your basic needs like browsing, work and casual gaming. I have no complaints about the mouse except the durability of the buttons. It lasted just for 11 months before the right click stopped functioning.",3.0,Dell MS116 1000DPI USB Wired Optical Mouse
90,Good mouse at reasonable price,if you are looking for no frill wired mouse go for it. It does all your day today task with ease and has considerable length of wire attached to it which helps you to work from distance  with your wireless keyboard.  Durable as i used one before too which lasted almost 4 years so i expect it too last that long as dell mouse usually are less clumsy thus you can expect a reasonable life for it .,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
91,I doubt if Butter would serve to be as smooth as this Mouse!,"Believe me this mouse right here, is very smooth, however hard and rough dealings you present it with! Although the design here is mediocre, the whole utility of a mouse is perfectly served with this intelligently manufactured piece of commodity!",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
92,Very good product,"Mouse is very good and really fast. At its default setting it just flies across the screen, so recommend to lower the pointer speed for normal use. Size is a bit smaller but not an issue for me as I rest my hand on table not on mouse. People with large hands might find it little difficult.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
93,Decent Mouse to Try,A Decent Wired Mouse according to me if you want to Buy a Dell Mouse. I have always been a Fan of their Mouses.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
